Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/swfxliyiyu/ComfyUI-FastVideo,https://comfysearch.snomiao.dev/github.com/swfxliyiyu/ComfyUI-FastVideo,README.md,https://comfysearch.snomiao.dev/github.com/swfxliyiyu/ComfyUI-FastVideo/-/blob/README.md,,"[39, [[76, 80]]]"
content,github.com/PrunaAI/ComfyUI_pruna,https://comfysearch.snomiao.dev/github.com/PrunaAI/ComfyUI_pruna,README.md,https://comfysearch.snomiao.dev/github.com/PrunaAI/ComfyUI_pruna/-/blob/README.md,,"[27, [[92, 96]]]"
content,github.com/clhui/ComfyUi-clh-Tool,https://comfysearch.snomiao.dev/github.com/clhui/ComfyUi-clh-Tool,pyth/api/Baidu_Text_transAPI.py,https://comfysearch.snomiao.dev/github.com/clhui/ComfyUi-clh-Tool/-/blob/pyth/api/Baidu_Text_transAPI.py,,"[11, [[5, 9]]]"
content,github.com/LevelPixel/ComfyUI-LevelPixel-Advanced,https://comfysearch.snomiao.dev/github.com/LevelPixel/ComfyUI-LevelPixel-Advanced,nodes/image/rmbg_LP.py,https://comfysearch.snomiao.dev/github.com/LevelPixel/ComfyUI-LevelPixel-Advanced/-/blob/nodes/image/rmbg_LP.py,,"[321, [[20, 24]]]"
content,github.com/MrForExample/ComfyUI-3D-Pack,https://comfysearch.snomiao.dev/github.com/MrForExample/ComfyUI-3D-Pack,Dockerfile,https://comfysearch.snomiao.dev/github.com/MrForExample/ComfyUI-3D-Pack/-/blob/Dockerfile,,"[31, [[43, 47]]]"
content,github.com/smthemex/ComfyUI_TRELLIS,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_TRELLIS,facebookresearch/dinov2/README.md,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_TRELLIS/-/blob/facebookresearch/dinov2/README.md,,"[372, [[15, 19]]]; [387, [[15, 19]]]"
content,github.com/Dayuppy/ComfyUI-DiscordWebhook,https://comfysearch.snomiao.dev/github.com/Dayuppy/ComfyUI-DiscordWebhook,README.md,https://comfysearch.snomiao.dev/github.com/Dayuppy/ComfyUI-DiscordWebhook/-/blob/README.md,,"[31, [[45, 49]]]"
content,github.com/wildminder/ComfyUI-KEEP,https://comfysearch.snomiao.dev/github.com/wildminder/ComfyUI-KEEP,modules/deps/wm_basicsr/utils/video_util.py,https://comfysearch.snomiao.dev/github.com/wildminder/ComfyUI-KEEP/-/blob/modules/deps/wm_basicsr/utils/video_util.py,,"[12, [[4, 8]]]"
content,github.com/MixLabPro/comfyui-mixlab-nodes,https://comfysearch.snomiao.dev/github.com/MixLabPro/comfyui-mixlab-nodes,__init__.py,https://comfysearch.snomiao.dev/github.com/MixLabPro/comfyui-mixlab-nodes/-/blob/__init__.py,,"[105, [[8, 12]]]"
content,github.com/AIGODLIKE/ComfyUI-BlenderAI-node,https://comfysearch.snomiao.dev/github.com/AIGODLIKE/ComfyUI-BlenderAI-node,utils.py,https://comfysearch.snomiao.dev/github.com/AIGODLIKE/ComfyUI-BlenderAI-node/-/blob/utils.py,,"[562, [[13, 17]]]; [551, [[18, 22]]]"
content,github.com/smthemex/ComfyUI_AniCrafter,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_AniCrafter,AniCrafter/engine/pose_estimation/dinov2/README.md,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_AniCrafter/-/blob/AniCrafter/engine/pose_estimation/dinov2/README.md,,"[372, [[15, 19]]]; [387, [[15, 19]]]"
content,github.com/billwuhao/ComfyUI_PortraitTools,https://comfysearch.snomiao.dev/github.com/billwuhao/ComfyUI_PortraitTools,AI1038Lab_RMBG.py,https://comfysearch.snomiao.dev/github.com/billwuhao/ComfyUI_PortraitTools/-/blob/AI1038Lab_RMBG.py,,"[324, [[20, 24]]]"
content,github.com/HowToSD/ComfyUI-Data-Analysis,https://comfysearch.snomiao.dev/github.com/HowToSD/ComfyUI-Data-Analysis,README.md,https://comfysearch.snomiao.dev/github.com/HowToSD/ComfyUI-Data-Analysis/-/blob/README.md,,"[61, [[122, 126]]]"
content,github.com/fairy-root/ComfyUI-OpenAI-FM,https://comfysearch.snomiao.dev/github.com/fairy-root/ComfyUI-OpenAI-FM,README.md,https://comfysearch.snomiao.dev/github.com/fairy-root/ComfyUI-OpenAI-FM/-/blob/README.md,,"[25, [[111, 115]]]"
content,github.com/kevin314/ComfyUI-FastVideo,https://comfysearch.snomiao.dev/github.com/kevin314/ComfyUI-FastVideo,README.md,https://comfysearch.snomiao.dev/github.com/kevin314/ComfyUI-FastVideo/-/blob/README.md,,"[40, [[76, 80]]]"
content,github.com/karthikg-09/ComfyUI-Vton-Mask,https://comfysearch.snomiao.dev/github.com/karthikg-09/ComfyUI-Vton-Mask,preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile,https://comfysearch.snomiao.dev/github.com/karthikg-09/ComfyUI-Vton-Mask/-/blob/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile,,"[16, [[39, 43] [13, 17] [8, 12]]]"
content,github.com/karthikg-09/ComfyUI-Vton-Mask,https://comfysearch.snomiao.dev/github.com/karthikg-09/ComfyUI-Vton-Mask,preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile-circleci,https://comfysearch.snomiao.dev/github.com/karthikg-09/ComfyUI-Vton-Mask/-/blob/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile-circleci,,"[7, [[42, 46] [13, 17] [8, 12]]]"
content,github.com/finegrain-ai/comfyui-finegrain,https://comfysearch.snomiao.dev/github.com/finegrain-ai/comfyui-finegrain,README.md,https://comfysearch.snomiao.dev/github.com/finegrain-ai/comfyui-finegrain/-/blob/README.md,,"[71, [[25, 29]]]; [95, [[25, 29]]]"
content,github.com/smthemex/ComfyUI_FollowYourEmoji,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_FollowYourEmoji,diffusers/utils/versions.py,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_FollowYourEmoji/-/blob/diffusers/utils/versions.py,,"[49, [[92, 96]]]"
